time,open,high,low,close,PM High,PM Low,Yest High,Yest Low,Week High,Week Low,ORB High,ORB Low,POC_,PM High (continuous),PM Low (continuous),MA,MA,Volume
2026-02-25T15:47:00-05:00,651.87,652,651.79,651.94,,,,,,,,,651.6000000000004,643,638.7,651.9569000000071,650.6953250000098,1708
2026-02-25T15:48:00-05:00,652,652.25,651.94,652.18,,,,,,,,,651.6000000000004,643,638.7,651.9537000000071,650.6992250000098,6625
2026-02-25T15:49:00-05:00,652.18,652.18,651.99,652,,,,,,,,,651.6000000000004,643,638.7,651.9465000000071,650.7028750000098,3574
2026-02-25T15:50:00-05:00,652,652.2,649.99,652.14,,,,,,,,,651.6000000000004,643,638.7,651.9429000000071,650.7093250000098,18788
2026-02-25T15:51:00-05:00,652.04,652.5,651.69,652.42,,,,,,,,,651.6000000000004,643,638.7,651.9445000000071,650.7163750000099,15829
2026-02-25T15:52:00-05:00,652.42,653.1,652.35,652.94,,,,,,,,,651.6000000000004,643,638.7,651.9603000000071,650.7266000000099,7528
2026-02-25T15:53:00-05:00,653.03,653.13,652.06,653.05,,,,,,,,,651.6000000000004,643,638.7,651.9767000000071,650.73925000001,6708
2026-02-25T15:54:00-05:00,653.02,653.15,652.36,652.71,,,,,,,,,651.6000000000004,643,638.7,651.9831000000071,650.75020000001,7096
2026-02-25T15:55:00-05:00,652.81,652.92,652.04,652.1,,,,,,,,,651.6000000000004,643,638.7,651.9817000000071,650.7567000000099,11125
2026-02-25T15:56:00-05:00,652.08,652.5,652.03,652.47,,,,,,,,,651.6000000000004,643,638.7,651.9877000000072,650.7670500000099,5812
2026-02-25T15:57:00-05:00,652.49,653.15,652.38,653.05,,,,,,,,,651.6000000000004,643,638.7,651.9907000000072,650.77920000001,7831
2026-02-25T15:58:00-05:00,652.98,652.99,652.86,652.96,,,,,,,,,651.6000000000004,643,638.7,651.9995000000072,650.79270000001,6689
2026-02-25T15:59:00-05:00,652.98,653.83,652.89,653.8,,,,,,,,,651.6000000000004,643,638.7,652.0275000000071,650.81180000001,27696
2026-02-25T16:00:00-05:00,653.71,653.71,652.67,652.97,,,,,,,,,651.6000000000004,,,652.0409000000071,650.82690000001,376
2026-02-25T16:01:00-05:00,653.5,653.93,653.43,653.93,,,,,,,,,651.6000000000004,,,652.072100000007,650.8473000000099,384
2026-02-25T16:02:00-05:00,653.91,654.46,653.86,654.46,,,,,,,,,651.6000000000004,,,652.107900000007,650.8705000000099,402
2026-02-25T16:03:00-05:00,654.22,654.599,654.05,654.599,,,,,,,,,651.6000000000004,,,652.141480000007,650.8943950000099,112
2026-02-25T16:04:00-05:00,653.82,653.82,653.69,653.69,,,,,,,,,651.6000000000004,,,652.159280000007,650.9142450000099,17
2026-02-25T16:05:00-05:00,653.98,654.06,653.98,654,,,,,,,,,651.6000000000004,,,652.1862800000071,650.93589500001,264
2026-02-25T16:06:00-05:00,654,654,653.69,653.69,,,,,,,,,651.6000000000004,,,652.2042800000071,650.9564950000099,407
2026-02-25T16:08:00-05:00,653.69,653.69,653.69,653.69,,,,,,,,,651.6000000000004,,,652.2178800000071,650.97524500001,49
2026-02-25T16:10:00-05:00,653.69,653.69,653.69,653.69,,,,,,,,,651.6000000000004,,,652.2376800000071,650.99609500001,208
2026-02-25T16:11:00-05:00,653.69,653.73,653.65,653.65,,,,,,,,,651.6000000000004,,,652.2594800000071,651.01774500001,719
2026-02-25T16:12:00-05:00,653.82,653.87,653.82,653.87,,,,,,,,,651.6000000000004,,,652.2866800000071,651.04059500001,13
2026-02-25T16:13:00-05:00,653.75,653.8,653.75,653.8,,,,,,,,,651.6000000000004,,,652.3160800000071,651.0619450000099,52
2026-02-25T16:14:00-05:00,653.75,653.75,653.75,653.75,,,,,,,,,651.6000000000004,,,652.3560800000072,651.0828450000099,1
2026-02-25T16:16:00-05:00,653.8,653.87,653.79,653.83,,,,,,,,,651.6000000000004,,,652.4014800000073,651.1040950000099,98
2026-02-25T16:17:00-05:00,653.87,653.88,653.75,653.75,,,,,,,,,651.6000000000004,,,652.4510800000071,651.1236450000099,252
2026-02-25T16:18:00-05:00,653.69,653.69,653.69,653.69,,,,,,,,,651.6000000000004,,,652.4894800000071,651.1437950000098,20
2026-02-25T16:20:00-05:00,653.69,653.69,653.69,653.69,,,,,,,,,651.6000000000004,,,652.5314800000072,651.1636950000099,168
2026-02-25T16:22:00-05:00,653.93,654,653.88,653.96,,,,,,,,,651.6000000000004,,,652.5772800000071,651.1841450000098,87
2026-02-25T16:23:00-05:00,653.82,653.82,653.75,653.75,,,,,,,,,651.6000000000004,,,652.6186800000072,651.20589500001,93
2026-02-25T16:24:00-05:00,653.69,653.71,653.69,653.71,,,,,,,,,651.6000000000004,,,652.6674800000072,651.22614500001,119
2026-02-25T16:25:00-05:00,653.69,653.69,653.69,653.69,,,,,,,,,651.6000000000004,,,652.7166800000073,651.24684500001,170
2026-02-25T16:26:00-05:00,653.7,654.11,653.69,654.08,,,,,,,,,651.6000000000004,,,652.7804800000072,651.26959500001,394
2026-02-25T16:27:00-05:00,654.24,654.24,654.22,654.22,,,,,,,,,651.6000000000004,,,652.8438800000072,651.2934450000099,20
2026-02-25T16:28:00-05:00,654.12,654.12,654.12,654.12,,,,,,,,,651.6000000000004,,,652.9042800000072,651.31909500001,1
2026-02-25T16:29:00-05:00,654,654,654,654,,,,,,,,,651.6000000000004,,,652.9588800000072,651.34529500001,2
2026-02-25T16:30:00-05:00,653.76,653.76,653.76,653.76,,,,,,,,,651.6000000000004,,,653.0082800000072,651.36904500001,1
2026-02-25T16:31:00-05:00,653.94,654.44,653.94,654,,,,,,,,,651.6000000000004,,,653.0620800000072,651.39334500001,200
2026-02-25T16:32:00-05:00,654.15,654.26,653.77,653.77,,,,,,,,,651.6000000000004,,,653.1100800000072,651.41619500001,38
2026-02-25T16:33:00-05:00,654,654.49,654,654.49,,,,,,,,,651.6000000000004,,,653.1702800000072,651.4437450000099,274
2026-02-25T16:34:00-05:00,654.46,654.5,654.46,654.5,,,,,,,,,651.6000000000004,,,653.2268800000072,651.47204500001,7
2026-02-25T16:35:00-05:00,654.5,654.99,654.5,654.69,,,,,,,,,651.6000000000004,,,653.2944800000072,651.50019500001,126
2026-02-25T16:36:00-05:00,654.84,654.95,654.64,654.89,,,,,,,,,651.6000000000004,,,653.3620800000072,651.5271950000099,1155
2026-02-25T16:37:00-05:00,654.9,655,654.9,654.95,,,,,,,,,651.6000000000004,,,653.4330800000072,651.5544700000099,19
2026-02-25T16:38:00-05:00,654.67,654.82,654.67,654.8,,,,,,,,,651.6000000000004,,,653.4996800000072,651.5827200000099,38
2026-02-25T16:39:00-05:00,654.87,654.87,654.85,654.85,,,,,,,,,651.6000000000004,,,653.5631800000072,651.6119700000099,5
2026-02-25T16:40:00-05:00,654.85,654.91,654.85,654.91,,,,,,,,,651.6000000000004,,,653.6285800000072,651.6409700000099,76
2026-02-25T16:41:00-05:00,654.91,654.91,654.7,654.7,,,,,,,,,651.6000000000004,,,653.6869800000072,651.6687700000099,207
2026-02-25T16:42:00-05:00,654.66,654.66,654.53,654.53,,,,,,,,,651.6000000000004,,,653.7387800000072,651.69642000001,92
2026-02-25T16:43:00-05:00,654.49,654.71,654.49,654.59,,,,,,,,,651.6000000000004,,,653.7869800000071,651.7230700000099,133
2026-02-25T16:44:00-05:00,654.59,654.6,654.48,654.6,,,,,,,,,651.6000000000004,,,653.8389800000072,651.75037000001,97
2026-02-25T16:45:00-05:00,654.5,654.5,654.21,654.21,,,,,,,,,651.6000000000004,,,653.8803800000071,651.7755200000099,4
2026-02-25T16:47:00-05:00,654.02,654.02,653.99,654,,,,,,,,,651.6000000000004,,,653.9119800000071,651.7982200000099,256
2026-02-25T16:48:00-05:00,653.86,654.19,653.8,653.86,,,,,,,,,651.6000000000004,,,653.9303800000072,651.8194700000099,11
2026-02-25T16:49:00-05:00,653.9,654,653.9,654,,,,,,,,,651.6000000000004,,,653.9493800000072,651.84152000001,3
2026-02-25T16:50:00-05:00,653.93,654.03,653.93,654.03,,,,,,,,,651.6000000000004,,,653.9757800000073,651.86507000001,4
2026-02-25T16:51:00-05:00,654,654.42,654,654.42,,,,,,,,,651.6000000000004,,,654.0221800000072,651.8891700000099,64
2026-02-25T16:52:00-05:00,654.1,654.1,654.09,654.09,,,,,,,,,651.6000000000004,,,654.0545800000073,651.9121700000101,41
2026-02-25T16:53:00-05:00,653.93,654.52,653.93,654.52,,,,,,,,,651.6000000000004,,,654.0839800000072,651.93837000001,258
2026-02-25T16:54:00-05:00,654.48,654.53,654.48,654.53,,,,,,,,,651.6000000000004,,,654.1153800000072,651.96327000001,16
2026-02-25T16:55:00-05:00,654.36,654.4,654.35,654.4,,,,,,,,,651.6000000000004,,,654.1273800000072,651.98752000001,50
2026-02-25T16:56:00-05:00,654.5,654.69,654.5,654.69,,,,,,,,,651.6000000000004,,,654.1617800000072,652.01532000001,59
2026-02-25T16:57:00-05:00,654.42,654.6,654.42,654.6,,,,,,,,,651.6000000000004,,,654.1751800000072,652.04252000001,12
2026-02-25T16:58:00-05:00,654.6,654.6,654.42,654.42,,,,,,,,,651.6000000000004,,,654.1743800000072,652.06812000001,18
2026-02-25T17:01:00-05:00,654.5,654.65,654.5,654.65,,,,,,,,,651.6000000000004,,,654.1754000000072,652.0947200000099,98
2026-02-25T17:02:00-05:00,654.49,654.49,654.49,654.49,,,,,,,,,651.6000000000004,,,654.1914000000073,652.1194700000101,1
2026-02-25T17:03:00-05:00,654.51,654.52,654.51,654.52,,,,,,,,,651.6000000000004,,,654.2018000000073,652.1445700000099,5
2026-02-25T17:05:00-05:00,654.58,654.58,654.49,654.54,,,,,,,,,651.6000000000004,,,654.2188000000073,652.16937000001,3
2026-02-25T17:06:00-05:00,654.51,654.51,654.42,654.42,,,,,,,,,651.6000000000004,,,654.2334000000072,652.19387000001,8
2026-02-25T17:07:00-05:00,654.42,654.42,654.42,654.42,,,,,,,,,651.6000000000004,,,654.2480000000073,652.2183700000099,3
2026-02-25T17:09:00-05:00,654.35,654.35,654.31,654.31,,,,,,,,,651.6000000000004,,,654.2612000000073,652.2414700000099,38
2026-02-25T17:10:00-05:00,654.31,654.31,654.31,654.31,,,,,,,,,651.6000000000004,,,654.2700000000073,652.2633200000099,42
2026-02-25T17:11:00-05:00,654.35,654.35,653.9,653.9,,,,,,,,,651.6000000000004,,,654.2720000000073,652.28162000001,256
2026-02-25T17:12:00-05:00,653.95,654,653.85,653.95,,,,,,,,,651.6000000000004,,,654.2760000000073,652.30002000001,20
2026-02-25T17:14:00-05:00,653.99,653.99,653.76,653.78,,,,,,,,,651.6000000000004,,,654.2750000000074,652.3175700000099,56
2026-02-25T17:15:00-05:00,653.97,653.97,653.8,653.8,,,,,,,,,651.6000000000004,,,654.2760000000072,652.3365700000099,18
2026-02-25T17:16:00-05:00,653.76,653.78,653.69,653.69,,,,,,,,,651.6000000000004,,,654.2760000000072,652.35467000001,57
2026-02-25T17:17:00-05:00,653.69,653.77,653.48,653.56,,,,,,,,,651.6000000000004,,,654.2734000000072,652.3718700000101,40
2026-02-25T17:18:00-05:00,653.36,653.4,653.36,653.4,,,,,,,,,651.6000000000004,,,654.2622000000073,652.3884200000099,365
2026-02-25T17:19:00-05:00,653.4,653.72,653.4,653.7,,,,,,,,,651.6000000000004,,,654.2612000000073,652.40717000001,271
2026-02-25T17:20:00-05:00,653.71,653.92,653.7,653.86,,,,,,,,,651.6000000000004,,,654.2642000000073,652.4261700000101,98
2026-02-25T17:21:00-05:00,654,654.3,654,654,,,,,,,,,651.6000000000004,,,654.2704000000073,652.4466200000101,731
2026-02-25T17:22:00-05:00,654.01,654.01,654.01,654.01,,,,,,,,,651.6000000000004,,,654.2690000000073,652.46827000001,9
2026-02-25T17:23:00-05:00,653.72,653.83,653.72,653.83,,,,,,,,,651.6000000000004,,,654.2612000000073,652.48912000001,91
2026-02-25T17:24:00-05:00,653.87,653.87,653.87,653.87,,,,,,,,,651.6000000000004,,,654.2562000000073,652.51067000001,1
2026-02-25T17:25:00-05:00,653.81,653.99,653.7,653.95,,,,,,,,,651.6000000000004,,,654.2552000000073,652.53287000001,78
2026-02-25T17:26:00-05:00,653.95,653.95,653.95,653.95,,,,,,,,,651.6000000000004,,,654.2590000000073,652.55417000001,1
2026-02-25T17:27:00-05:00,653.71,653.71,653.71,653.71,,,,,,,,,651.6000000000004,,,654.2532000000073,652.57332000001,3
2026-02-25T17:28:00-05:00,653.9,653.9,653.71,653.71,,,,,,,,,651.6000000000004,,,654.2520000000073,652.59262000001,32
2026-02-25T17:29:00-05:00,653.7,653.7,653.7,653.7,,,,,,,,,651.6000000000004,,,654.2362000000073,652.61092000001,120
2026-02-25T17:30:00-05:00,653.7,653.7,653.68,653.68,,,,,,,,,651.6000000000004,,,654.2198000000074,652.62902000001,293
2026-02-25T17:31:00-05:00,653.3,653.39,653.17,653.26,,,,,,,,,651.6000000000004,,,654.1912000000074,652.64512000001,102
2026-02-25T17:34:00-05:00,653.5,653.5,653.5,653.5,,,,,,,,,651.6000000000004,,,654.1634000000073,652.66292000001,17
2026-02-25T17:35:00-05:00,653.5,653.51,653.44,653.44,,,,,,,,,651.6000000000004,,,654.1332000000073,652.67962000001,38
2026-02-25T17:36:00-05:00,653.15,653.21,653.15,653.21,,,,,,,,,651.6000000000004,,,654.1014000000073,652.69567000001,105
2026-02-25T17:37:00-05:00,653.13,653.13,652.9,652.9,,,,,,,,,651.6000000000004,,,654.0624000000073,652.70992000001,179
2026-02-25T17:39:00-05:00,652.74,652.76,652.74,652.76,,,,,,,,,651.6000000000004,,,654.0194000000073,652.72247000001,13
2026-02-25T17:40:00-05:00,652.5,652.5,652.5,652.5,,,,,,,,,651.6000000000004,,,653.9754000000073,652.7344200000101,2
2026-02-25T17:41:00-05:00,652.5,652.55,652.2,652.32,,,,,,,,,651.6000000000004,,,653.9312000000073,652.74422000001,776
2026-02-25T17:42:00-05:00,652.32,652.39,652.2,652.2,,,,,,,,,651.6000000000004,,,653.8834000000072,652.75287000001,152
2026-02-25T17:43:00-05:00,652.3,652.3,652.3,652.3,,,,,,,,,651.6000000000004,,,653.8374000000073,652.7608700000101,1
2026-02-25T17:47:00-05:00,652.51,652.51,652.5,652.5,,,,,,,,,651.6000000000004,,,653.8032000000072,652.7693700000101,7
2026-02-25T17:48:00-05:00,652.62,652.62,652.62,652.62,,,,,,,,,651.6000000000004,,,653.7756000000072,652.77827000001,10
2026-02-25T17:50:00-05:00,652.44,652.5,652.44,652.5,,,,,,,,,651.6000000000004,,,653.7484000000072,652.78622000001,51
2026-02-25T17:53:00-05:00,652.2,652.2,651.96,651.96,,,,,,,,,651.6000000000004,,,653.7076000000073,652.79242000001,1169
2026-02-25T17:54:00-05:00,651.81,651.81,651.81,651.81,,,,,,,,,651.6000000000004,,,653.6632000000072,652.79817000001,1
2026-02-25T17:55:00-05:00,651.74,651.74,651.74,651.74,,,,,,,,,651.6000000000004,,,653.6096000000073,652.80377000001,1
2026-02-25T17:56:00-05:00,651.69,651.69,651.3,651.3,,,,,,,,,651.6000000000004,,,653.5538000000073,652.80647000001,34
2026-02-25T17:57:00-05:00,651,651.31,651,651,,,,,,,,,651.6000000000004,,,653.4834000000074,652.80752000001,101
2026-02-25T17:58:00-05:00,650.88,650.88,650.88,650.88,,,,,,,,,651.6000000000004,,,653.4104000000073,652.80762000001,1
2026-02-25T18:00:00-05:00,651.35,652,651.35,652,,,,,,,,,651.6000000000004,,,653.3624000000074,652.81267000001,1141
2026-02-25T18:03:00-05:00,651.4,652,651.4,652,,,,,,,,,651.6000000000004,,,653.3086000000073,652.81782000001,11
2026-02-25T18:06:00-05:00,651.95,651.99,651.57,651.99,,,,,,,,,651.6000000000004,,,653.2564000000074,652.82264500001,21
2026-02-25T18:07:00-05:00,651.76,651.76,651.76,651.76,,,,,,,,,651.6000000000004,,,653.2032000000073,652.82744500001,100
2026-02-25T18:10:00-05:00,651.57,651.57,651.56,651.56,,,,,,,,,651.6000000000004,,,653.1414000000074,652.83124500001,46
2026-02-25T18:12:00-05:00,651.35,651.35,651.3,651.3,,,,,,,,,651.6000000000004,,,653.0776000000074,652.8340950000099,100
2026-02-25T18:13:00-05:00,651.3,651.3,651,651,,,,,,,,,651.6000000000004,,,653.0072000000074,652.83434500001,34
2026-02-25T18:16:00-05:00,650.62,650.62,650.62,650.62,,,,,,,,,651.6000000000004,,,652.9288000000074,652.83264500001,9
2026-02-25T18:17:00-05:00,650.9,650.91,650.9,650.91,,,,,,,,,651.6000000000004,,,652.8586000000074,652.83059500001,33
2026-02-25T18:19:00-05:00,650.36,650.36,650.33,650.36,,,,,,,,,651.6000000000004,,,652.7774000000074,652.8263950000099,17
2026-02-25T18:20:00-05:00,650.39,650.39,649.7,649.7,,,,,,,,,651.6000000000004,,,652.6852000000074,652.8177450000101,388
2026-02-25T18:23:00-05:00,649.82,649.82,649.74,649.74,,,,,,,,,651.6000000000004,,,652.5938000000074,652.81109500001,29
2026-02-25T18:24:00-05:00,649.6,649.75,649.6,649.75,,,,,,,,,651.6000000000004,,,652.5108000000074,652.80429500001,60
2026-02-25T18:25:00-05:00,649.75,649.75,649.75,649.75,,,,,,,,,651.6000000000004,,,652.4268000000073,652.7973450000101,12
2026-02-25T18:26:00-05:00,649.77,650,649.77,649.97,,,,,,,,,651.6000000000004,,,652.3506000000074,652.7914950000101,20
2026-02-25T18:27:00-05:00,649.41,649.41,649.41,649.41,,,,,,,,,651.6000000000004,,,652.2628000000074,652.78164500001,3
2026-02-25T18:28:00-05:00,649.4,649.4,649.39,649.39,,,,,,,,,651.6000000000004,,,652.1768000000073,652.7704450000101,100
2026-02-25T18:29:00-05:00,649.4,649.4,649.39,649.39,,,,,,,,,651.6000000000004,,,652.0934000000074,652.7601950000101,80
